,seed,k,err
182,10,3,0.4744832541756454
183,10,4,0.33649767774479855
184,10,5,0.3364976777449491
185,10,6,0.3364976777449402
186,10,7,0.23091983496791557
187,10,8,0.28236723038412426
188,10,9,0.17544639713851673
189,10,10,0.24448865535782394
190,10,11,0.22457126293791563
191,10,12,0.13318127955460257
192,10,13,0.1301430254495778
193,10,14,0.0929895287861342
194,10,15,0.10617734212690255
195,10,16,0.11042626196844763
196,10,17,0.06605887463509785
197,10,18,0.11121206910081882
198,10,19,0.0961376718169824
199,10,20,0.07022466110363668
200,11,1,0.7728941611237321
201,11,2,0.5954753806202753
202,11,3,0.4569408998045137
203,11,4,0.45694089879079125
204,11,5,0.3364976777448213
205,11,6,0.2823672309659808
206,11,7,0.28236723083981075
207,11,8,0.28236723077768566
208,11,9,0.21027043299169856
209,11,10,0.19773625600461897
210,11,11,0.17378526554690576
211,11,12,0.1332251006132782
212,11,13,0.33649767774480954
213,11,14,0.10736091338062392
214,11,15,0.08616005690075668
215,11,16,0.24448864712215035
216,11,17,0.14482488478443267
217,11,18,0.15130246049783724
218,11,19,0.14440183770954806
219,11,20,0.08351457960151987
220,12,1,0.7728941558276965
221,12,2,0.5954753816250014
222,12,3,0.45694090032132906
223,12,4,0.33649767774486794
224,12,5,0.28236723105597905
225,12,6,0.28236723036551514
226,12,7,0.21328050983217217
227,12,8,0.28236723042184564
228,12,9,0.23091983486430745
229,12,10,0.1478523810663599
230,12,11,0.14440183936487827
231,12,12,0.15255125921321433
232,12,13,0.1251266859996275
233,12,14,0.1737852658472422
234,12,15,0.09703567032933857
235,12,16,0.11053305287231152
236,12,17,0.06597305212204285
237,12,18,0.11986441391013258
238,12,19,0.06338193820433746
239,12,20,0.08852635159239008
240,13,1,0.7728941592878773
241,13,2,0.5954753826748485
242,13,3,0.4569408997709986
243,13,4,0.33649767774480555
244,13,5,0.4569408999223348
245,13,6,0.28236723072717274
246,13,7,0.22457110558842663
247,13,8,0.3364976777448033
248,13,9,0.2309198350384397
249,13,10,0.15239369195740948
250,13,11,0.19356930058868538
251,13,12,0.2831954940890843
252,13,13,0.15592620153910186
253,13,14,0.10617734559073311
254,13,15,0.1331813078277434
255,13,16,0.09206583151581038
256,13,17,0.11581253417255954
257,13,18,0.13318138367374954
258,13,19,0.1478995758097328
259,13,20,0.044947883869957406
260,14,1,0.7728941631872105
261,14,2,0.5954753808022385
262,14,3,0.47448325226884924
263,14,4,0.4744832551944692
264,14,5,0.2823672304526891
265,14,6,0.33649767774480777
266,14,7,0.47448325200544994
267,14,8,0.2245712489101067
268,14,9,0.16752029008277336
269,14,10,0.17378526568469188
270,14,11,0.15086668077053078
271,14,12,0.1525512603799527
272,14,13,0.15086668020793215
273,14,14,0.17378526616643364
274,14,15,0.07340252987226215
275,14,16,0.09777584707789255
276,14,17,0.128576071355458
277,14,18,0.07115215782190076
278,14,19,0.11412805823412009
279,14,20,0.08525459704931304
280,15,1,0.7728941557704734
281,15,2,0.5954753822437284
282,15,3,0.5954753857954136
283,15,4,0.3364976777448144
284,15,5,0.33649767774480954
